,H0_Seed167,H1_Seed168,H2_Seed169,H3_Seed170,H4_Seed171,H5_Seed172,H6_Seed173,H7_Seed174,H8_Seed175,H9_Seed176
26,2.825333488148441e-91,-0.0022101964248667223,5.589476700667255e-05,0.0008645750836787409,-0.0007548149915633649,4.413089126375572e-213,6.904863558369018e-100,0.0,-0.00022750529326754675,-9.072518031481139e-05
27,2.6960876022900524e-84,-0.0023444744936046862,5.859138596791669e-05,0.0009646404689708438,-0.0007796679774171049,4.2112107938191857e-206,6.588998117678373e-93,0.0,-0.00026592432770684865,-0.00015762729866463895
28,1.602196979872678e-77,-0.002471104245756872,6.110028923528021e-05,0.0010613260389178516,-0.0008020803768530153,2.502585305365175e-199,3.915626805139585e-86,0.0,-0.00030335534233278245,-0.0002237144423086916
29,-3.3382562343986134e-72,-0.0025897413811535736,6.341480255782717e-05,0.0011543588927768824,-0.0008219956777754365,-5.2142596089884715e-194,-8.158401094276749e-81,0.0,-0.00033969138094564773,-0.0002887939874551015
30,-1.626003906979037e-63,-0.00270006632936853,6.552884815069396e-05,0.001243477772000877,-0.0008393649438798496,-2.5397710363936078e-185,-3.973808815901856e-72,0.0,-0.00037482905142075727,-0.0003526768675070108
31,-2.357664506204165e-56,-0.002801785154297582,6.767286538248416e-05,0.0013284338153613116,-0.0008541469462786245,-3.682603713738381e-178,-5.7619221943321305e-65,0.0,-0.0004086688264437351,-0.0004151781283837212
32,-2.096262708321924e-49,-0.00289463038176917,0.00014587756029520388,0.001408991276626792,-0.0008663082720824128,-3.2743016719843245e-171,-5.1230794680272934e-58,0.0,-0.00044111533252739327,-0.0004761174712092413
33,-1.1032290534347072e-42,-0.002978361736401142,0.00038165625319754205,0.0014849282026449355,-0.0008758234096072402,-1.7232118474009217e-164,-2.6961936067198273e-51,0.0,-0.00047207762644414043,-0.0005353197807440153
34,2.7298750922835632e-36,-0.003131377164619465,0.0006150673270806503,0.00155603706978347,-0.0008826748099422527,4.263985875197864e-158,6.671571735755431e-45,0.0,-0.0005014694582422069,-0.0005926156379742806
35,1.4885478229995154e-28,-0.0035107634576712608,0.0008454229786156723,0.001622125376809752,-0.000886852924684455,2.3250686120289658e-150,3.637878381804182e-37,0.0,-0.0005292095200534072,-0.0006478418153191101
36,1.942447140404866e-21,-0.0038776582751263015,0.0010720473265610686,0.0016830161924138317,-0.0008883562197170357,3.0340462072511193e-143,4.747167911365643e-30,0.0,-0.0005552216799409813,-0.0007008417529642447
37,1.608423124193357e-14,-0.004231024210454967,0.0012942776598710405,0.0017385486557080108,-0.0008871911649771233,2.5123103625871714e-136,3.9308429476634394e-23,2e-323,-0.0005794352000778718,-0.0007514660148834201
38,7.244536874085853e-08,-0.004569858400030367,0.0015114663980184651,0.0017885784281898645,-0.0008833722002385786,1.1315756897022404e-129,1.7705003274477598e-16,8.216576e-317,-0.0006017849385969087,-0.0007995727231734261
39,0.00019506218001793732,-0.004893204530085256,0.001722983004471815,0.001832978095789341,-0.0008769216770015934,-6.56639976503012e-123,-1.0274003798355056e-09,-4.7679815952136e-310,-0.0006222115344991867,-0.0008450279693881977
